ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
ORCL,5.6,49.1,2.01,4.11,1.37,1.66,0.28,15.3,725.0,3,2019-10-18,2019-10-21,2019-11-06,13,55.26,53.55,55.7,3.09,0.099,0.8,-2.52,tiempo,48.9,4.9
RACE,6.0,46.2,1.86,4.94,-1.55,5.41,7.07,16.7,53.0,2,2019-10-23,2019-10-24,2019-11-05,9,153.52,147.43,164.91,3.97,1.591,7.42,-0.26,stop,55.8,3.7
AMAT,13.7,47.9,2.49,4.5,1.45,15.35,13.7,14.4,324.0,2,2019-10-23,2019-10-24,2019-11-11,13,52.94,49.99,56.59,5.57,1.149,6.89,-0.36,tiempo,62.5,4.9
MRVL,27.2,50.7,2.74,3.02,-0.18,6.35,6.54,13.8,141.0,3,2019-10-31,2019-11-01,2019-11-18,12,24.55,23.08,26.52,6.0,1.341,8.01,-0.69,stop,44.6,4.6
QCOM,25.0,56.5,2.22,3.14,3.98,15.83,11.4,15.9,453.0,3,2019-10-31,2019-11-01,2019-11-19,13,81.59,76.51,88.27,6.22,1.329,8.19,-0.42,stop,47.4,4.9
LRCX,4.6,62.4,2.66,3.55,11.16,33.9,20.46,29.9,486.0,3,2019-11-11,2019-11-12,2019-11-21,8,27.56,26.48,26.48,3.92,-1.087,-3.92,-2.88,stop,66.7,3.4
MU,11.9,47.5,3.04,6.72,-1.42,10.15,11.74,14.2,795.0,2,2019-11-11,2019-11-12,2019-11-29,13,46.8,44.69,47.51,4.51,0.228,1.52,-3.76,tiempo,65.6,4.9
RACE,24.6,61.2,1.7,3.29,5.58,11.53,5.63,21.6,66.0,3,2019-11-11,2019-11-12,2019-11-29,13,164.74,156.02,168.27,5.29,0.312,2.14,-0.82,tiempo,29.9,4.9
NVO,1.1,41.3,1.72,6.65,0.83,6.28,5.41,29.4,87.0,3,2019-11-21,2019-11-22,2019-12-11,13,27.49,26.75,28.43,2.68,1.204,3.42,-1.25,tiempo,67.7,4.9
QCOM,1.2,49.2,2.92,9.72,4.83,17.25,11.85,31.4,1002.0,3,2019-11-22,2019-11-25,2019-12-03,6,85.82,82.11,81.38,4.33,-1.26,-5.17,-4.09,gap,68.7,2.8
LRCX,3.7,46.7,2.8,7.65,3.91,26.49,21.73,26.7,428.0,3,2019-11-22,2019-11-25,2019-12-03,6,26.67,25.57,25.57,4.13,-1.068,-4.13,-2.0,stop,80.3,2.8
MRVL,11.1,50.4,2.87,7.54,3.37,9.97,6.38,15.1,185.0,2,2019-11-22,2019-11-25,2019-12-03,6,26.4,25.28,24.94,4.24,-1.371,-5.53,-2.35,gap,53.2,2.8
ASML,6.4,51.7,1.66,3.18,3.08,22.62,18.96,19.9,150.0,3,2019-11-22,2019-11-25,2019-12-03,6,270.23,263.62,263.14,2.45,-1.186,-2.62,-2.34,gap,65.0,2.8
TSLA,10.1,56.7,3.43,7.37,17.25,30.33,11.16,47.6,2934.0,2,2019-11-22,2019-11-25,2019-11-26,2,22.95,21.81,21.81,4.98,-1.032,-4.98,-2.86,stop,62.1,1.6
AMD,19.6,68.2,3.36,5.18,19.41,32.02,10.56,36.6,2477.0,3,2019-11-22,2019-11-25,2019-12-12,13,39.89,35.32,42.59,11.46,0.548,6.77,-6.87,tiempo,51.1,4.9
AMAT,6.6,49.0,3.18,10.28,4.2,21.62,16.72,21.2,464.0,3,2019-11-22,2019-11-25,2019-12-12,13,57.14,54.47,60.36,4.67,1.102,5.64,-3.83,tiempo,65.2,4.9
RACE,13.1,52.5,1.53,3.38,4.04,9.79,5.53,22.0,57.0,2,2019-12-02,2019-12-03,2019-12-19,13,167.27,163.15,166.52,2.47,-0.381,-0.45,-2.42,tiempo,34.6,4.9
